cluster_id,cluster_size,doc_id,title,score,representative_id,representative_title,avg_similarity,tags_text
63518526,2,63522576,Warning: Package Body created with compilation errors...in plsql,0,63522576,Warning: Package Body created with compilation errors...in plsql,0.8037037037037037,sql|oracle-database|plsql|plsql-package
63518526,2,63518526,issue on creating package,-1,63522576,Warning: Package Body created with compilation errors...in plsql,0.8037037037037037,oracle-database|plsql|plsql-package
65121862,2,65124167,Linux and Oracle Instant Client,0,65121862,Docker Oracle Instant Client,0.7319587628865979,php|linux|oracle-database|docker|pecl
65121862,2,65121862,Docker Oracle Instant Client,0,65121862,Docker Oracle Instant Client,0.7319587628865979,oracle-database|docker|makefile|docker-compose|dockerfile
66320191,2,66320191,How should I edit the query to improve performance while keeping the existing structure?,0,66321562,How should I improve query performance while keeping the existing structure?,0.7037037037037037,oracle-database
66320191,2,66321562,How should I improve query performance while keeping the existing structure?,1,66321562,How should I improve query performance while keeping the existing structure?,0.7037037037037037,oracle-database
67307641,2,67307641,join with lookup and groupby,0,67307641,join with lookup and groupby,0.8666666666666667,sql|oracle-database
67307641,2,67322152,join with lookup and group by,0,67307641,join with lookup and groupby,0.8666666666666667,sql|oracle-database
69223996,2,69223996,Logging different table updates into a CLOB in LOG TABLE Oracle,0,69389601,SqlPlus script to update data and log the update values in a CLOB,0.6527777777777778,oracle-database|plsql|triggers|sqlplus|plsqldeveloper
69223996,2,69389601,SqlPlus script to update data and log the update values in a CLOB,1,69389601,SqlPlus script to update data and log the update values in a CLOB,0.6527777777777778,sql|oracle-database|shell|plsql|sqlplus
69744559,2,69744559,How to express 5 sets of data currently in one column 5 different columns,0,69746788,How to turn 5 sets of data from one column into 5 different columns,0.6818181818181818,sql|oracle-database|pivot|oracle10g
69744559,2,69746788,How to turn 5 sets of data from one column into 5 different columns,2,69746788,How to turn 5 sets of data from one column into 5 different columns,0.6818181818181818,sql|oracle-database|oracle10g
70089553,2,70089553,UPDATED - Terraform OCI - create multiple VCN in different regions,1,70089553,UPDATED - Terraform OCI - create multiple VCN in different regions,0.75,oracle-database|terraform|terraform-provider-oci
70089553,2,70094984,Terraform OCI - create multiple VCN in multiple regions,0,70089553,UPDATED - Terraform OCI - create multiple VCN in different regions,0.75,oracle-database|terraform|terraform-provider-oci
9660235,2,9660235,sql statement how to keep null value,-2,9662930,sql returning no rows selected,0.8164893617021277,sql|oracle-database
9660235,2,9662930,sql returning no rows selected,0,9662930,sql returning no rows selected,0.8164893617021277,sql|oracle-database
